公司名稱,產業類別,公司代號,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG
百達-KY,汽車工業,2236,924,807.5,735.5,630,0.186,0,0,18984.5,8.3865,1,0.0004,503.47,2944.955,21793.4,2.71965,7,3,1,0.1429,1,0.8571,2555.435,14481.355,17036.79,0.15025,1,1,1,1
英利-KY,汽車工業,2239,924,807.5,735.5,630,0,0,0,18984.5,6.38215,1,0.0004,503.47,2944.955,21793.4,1.294,7,3,0,0,0.8036,1,2555.435,14481.355,17036.79,0.0628,1,1,1,1
艾姆勒,汽車工業,2241,856,700,649,577,0.1515,12,0.0265,79374,0.0785,2,0,8.917,4754.92,57072.23,0.0047,6,2,1,0.1667,0.9524,1,35.705,55.783,91.488,0.0001,1,1,1,1
宏旭-KY,汽車工業,2243,1029.5,878,934,763,0.0426,0,0,49112.715,0.98425,1,0.0004,503.47,4705.545,21793.4,0.0853,7,3,1,0.1429,0.9762,1,2555.435,14481.355,452.065,0.00575,1,1,1,1
汎德永業,汽車工業,2247,1133,952,1035,815,0.087,11,0.0065,83391.43,1.89,2,0.0008,244.06965,7310.18,57072.23,0.1659,7,3,2,0.2857,0.9643,1,95.5075,37.1015,503.26,0.0114,1,1,1,1
IKKA-KY,汽車工業,2250,994.5,826,842,696,0.37,0,0,81382.715,0.98425,1,0.0004,345.6285,6032.55,21793.4,0.0853,9,3,0,0,0.98,1,61.7875,184.3915,297.374,0.00575,1,1,1,1
怡利電,汽車工業,2497,836,720,641,575,0.0106,0,0,24587,0.0113,7,0.00145,1163.15025,3271.79,14003.24,2.5994,9,3,1,0.11,0.9841,1,14.54,381.5925,44,0.08875,1,1,1,1
麗清,汽車工業,3346,1238,1059,871,729,0.0325,0,0,6122,2.0436,2,0.00145,20.7,1472.5,20979.16,3.393,9,3,2,0.222,0.8333,0.6667,2.5238,19.9952,22.519,0.08755,1,1,1,1
智伸科,汽車工業,4551,2253,2046,1474,1213,0.33,1,0.0004,453058,0.0014,18,0.0277,216.87,55282.79,3849.82,0.0002,8,3,1,0.125,1,1,583.48,1648.99,2232.47,0,1,1,1,1
永新-KY,汽車工業,4557,1745.5,1552.5,1172.5,971,0,4,0.0069,241392,14.5319,1,0.0004,222.96,28855.23,64048.15,1.30785,9,3,0,0,1,1,293.0019,834.4926,1142.6956,0.026,1,1,1,1
光隆精密-KY,汽車工業,4581,784,665.5,637,576,0.19,0,0,29726,29.0624,1,0.00145,229.05,2427.67,14003.24,2.6155,9,3,2,0.2222,1,1,14.54,381.5925,52.9212,0.052,1,1,1,1
聯嘉,汽車工業,6288,860,709,800,487,0.1818,0,0,54010,0.014,4,0.0004,479.2223,5627.74,99326.98,10.42,9,4,2,0.222,1,1,19.125,70.758,89.883,0.0235,1,1,1,1
帝寶,汽車工業,6605,763,644,670,635,0.253,9,0.0024,4200,0,1,0,83.745,1187.105,16384.715,80.198,10,4,3,0.3,1,0.8,0,140,140,0.0001,1,1,1,1
八貫,其他,1342,905,806,669,538,0.4,6,0.016,198902.5,0.43,1,0.16215,3164.42,4418.47,1562.32,0.1879,7,3,1,0.143,0.91,1,0,375.5,145.11,0.05035,1,1,1,1
廣豐,其他,1416,1583,1392,803,940,0.3333,0,0,8888.75,51.38155,2,0.16215,1582.21,2219.235,6368.12,0.4207,8,3,0,0,0.9643,1,0,375.5,269.61,0.0349,1,1,1,1
中福,其他,1435,1593,1493,849,740,0,0,0,8888.75,51.38155,1,0.16215,1583.095,2226.705,6368.12,0.4207,7,3,0,0,0,0,0,375.5,269.61,0.0349,1,1,1,1
勤益控,其他,1437,2806,2546,614,412,0.67,0,0,8888.75,0.5785,2,0.16215,1.77,34.94,527.41495,0.0458,7,3,0,0,1,1,0,375.5,269.61,0.05015,1,1,1,1
立益物流,其他,1443,824,699,637,623,0.36,0,0,8888.75,51.38155,1,0.16215,1582.21,2219.235,6368.12,0.4207,7,2,0,0,0.83,0.11,0,375.5,269.61,0.08475,1,1,1,1
川飛,其他,1516,1235,1064,648,666,0,0,0,8888.75,51.38155,1,0.16215,1582.21,2219.235,6368.12,0.4207,6,2,2,0.2857,1,0,0,375.5,269.61,0.0349,1,1,1,1
海悅,其他,2348,1510,1309,1109,955,0.3077,0,0,8888.75,51.62305,1,0.16215,1582.21,2219.235,6368.12,0.4207,13,3,3,0.2308,0.8571,0.1538,0,375.5,269.61,0.0349,1,1,1,1
卓越,其他,2496,1386,1112,659,682,1,0,0,8888.75,51.62305,1,0.16215,1582.21,2219.235,6368.12,0.4207,9,3,5,0.56,0.98,1,0,375.5,269.61,0.0349,1,1,1,1
龍邦,其他,2514,1164,1000,778,698,0.5,0,0,8888.75,51.62305,1,0.16215,1582.21,2219.235,6368.12,0.4207,7,3,2,0.2857,0.9881,1,0,375.5,269.61,0.0349,1,1,1,1
匯僑,其他,2904,1248,1040,703,670,0.2308,0,0,17777,13.6858,1,0.0144,1583.095,2226.705,6289.685,0.9748,7,3,0,0,0.9762,1,0,168.8625,39.22,0.0978,1,1,1,1
遠見,其他,3040,1229,1055,725,679,0.5,0,0,0.5,0.1885,1,0.0144,0,20,889.84995,0.0235,7,3,2,0.286,1,1,0,500,500,0.0005,1,1,1,1
jpp-KY,其他,5284,908.5,778.5,689.5,600,0.0168,26,0.021,9566,102.4261,5,0.0144,1630.01,4624.95,11173.92,0.7956,7,3,1,0.1429,1,1,0,43.2475,142.473,0.0695,1,1,1,1
中租-KY,其他,5871,908.5,778.5,689.5,600,0.3076,6,0.0007,71398,0.82,17,0.2955,404.66,2988.22,837.45,0.33,9,3,1,0.1111,0.9899,1,0.873,264.89,229.63,0.0558,1,1,1,1
大豐電,其他,6184,883,749,692,570,0.3636,0,0,225713,0.428,1,0.16215,1192.33,11256.61,6005.685,0.16935,9,3,1,0.1111,1,0,0,318.41,240.315,0.0501,1,1,1,1
台數科,其他,6464,1586,1399,578,523,0.6364,0,0,6164,0.337,2,0.0144,6.8214,14.3187,820.98995,0.0012,15,3,4,0.2667,0.7669,1,0,270.385,4.77,0.0003,1,1,1,1
南六,其他,6504,786,625,548,489,0.2289,16,0.0375,380028,10.635,1,0.02545,1583.095,2226.705,811.715,0.2979,9,3,1,0.1111,1,1,0,251,251,0.1,1,1,1,1
鼎基,其他,6585,885,751,743,667,0.1667,10,0.0167,89052,0.036,2,0.1632,1980,19525,2536.645,0.0087,8,4,0,0,0.9855,1,0,385.82,385.82,0.0002,1,1,1,1
和潤企業,其他,6592,1434,1224,1214,978,0.2297,0,0,9435,2.7635,4,0.0144,286.2648,736.8085,217.3799,0.3891,8,2,0,0,0.9,1,0,43.2475,39.065,0.03015,1,1,1,1
必應,其他,6625,934,808,687,630,0.35,1,0.0034,234540,0.428,1,0.16215,1192.33,11256.61,527.41495,0.16935,7,3,0,0,0.875,1,0,318.41,318.41,0.0501,1,1,1,1
科定,其他,6655,907,809,766,678,0.4044,5,0.0105,234540,0.428,1,0.16215,1133.1324,10130.90425,527.41495,0.16935,7,3,1,0.1428,1,1,0,318.41,318.41,0.0501,1,1,1,1
雷虎,其他,8033,906,774,580,561,0.2,0,0,3749,0.04,1,0.0144,14.6657,1520.77935,820.98995,1.3156,8,3,2,0.25,0.8375,1,0,270.385,6.71,0.0007,1,1,1,1
百和興業-KY,其他,8404,728.5,599,603,554.5,0.434,18,0.0045,914380,91.1283,2,0.363,39852.43,51292.23,2139.29,9.0836,10,4,1,0.1,1,1,144.57,3967.79,4112.36,0.4098,1,1,1,1
福貞-KY,其他,8411,728.5,599,603,554.5,0.2471,3,0.0043,458000,9.12,2,0.02545,8264,19361,811.715,0.55,7,3,2,0.29,0.98,1,207.81,562.05,769.86,0.02,1,1,1,1
威宏-KY,其他,8442,1076.5,923.5,852.5,780.5,0,0,0,576118,14.1408,2,0.1959,285483.28,30344.015,1100.2,0.7165,9,3,1,0.0011,0.8333,1,103.905,365.352,469.257,0.0378,1,1,1,1
潤泰材,其他,8463,918,759,673,604,0.12,9,0.0262,694236,63.9339,1,0.1915,562702.56,41327.03,1850.805,0.883,9,3,1,0.1111,0.8889,1,0,168.654,168.654,0.2549,1,1,1,1
美吉吉-KY,其他,8466,1076.5,923.5,852.5,780.5,0.3514,18,0.022,355003,14.1408,1,0.1959,281389.93,21408.265,1100.2,1.3934,8,3,0,0,0.9032,1,0,107.1895,107.1895,0.0378,1,1,1,1
政伸,其他,8481,1235,1088,1032,957,0.3846,0,0,15770,19.1616,2,0.0288,77.3,1489.5,5617.21495,1.9038,11,3,1,0.09,1,1,0,45.725,45.725,0.0556,1,1,1,1
吉源-KY,其他,8488,1076.5,923.5,852.5,780.5,0.2222,0,0,355003,14.1408,1,0.1959,281389.93,21408.265,1100.2,1.3934,9,3,1,0.1111,0.94,1,0,107.1895,107.1895,0.0378,1,1,1,1
台火,其他,9902,878,684,523,568,0.375,0,0,0.45,0.1885,1,0.0144,22.51,17.15935,1493.46,1.3156,7,3,0,0,1,1,0,270.385,253.355,0.0005,1,1,1,1
大華,其他,9905,735,586,617,570,0.1047,5,0.017,89415,36.7395,1,0.1632,2572.21,11971.735,2536.645,0.02725,10,3,2,0.2,0.9833,0.4,1.746,143.96,145.706,0.0599,1,1,1,1
統一實,其他,9907,1068,907,901,848,0.112,4,0.0036,1131625,1.34,4,0.1915,40518,90068,1850.805,0.15,10,3,1,0.1,0.99,1,418.6,4037.4,4456,0.005,1,1,1,1
中保科,其他,9917,961,813,771,724,0.3043,29,0.0117,49166,6.7468,4,0.15795,3305.26,4508.01,1199.885,1.07,11,3,1,0.0909,0.9773,1,1.735,661.135,20.442,0.0028,1,1,1,1
康那香,其他,9919,705,592,543,487,0.3636,7,0.0108,192404,12.15,2,0.1632,1439.14,14550.58,61.11,1.8,9,3,3,0.33,0.94,1,0,2519,2519,0.22,1,1,1,1
新保,其他,9925,848,701,682,635,0.0654,16,0.0091,8027,2.615,1,0.0144,1832.66,3027.24,820.98995,2.63,9,4,0,0,0.8283,0.7778,0,40.77,40.77,0.03035,1,1,1,1
泰銘,其他,9927,980,833,721,684,0.0909,0,0,29132,4.3268,1,0.0246,12455.16,4565.73,6289.685,2.5279,9,3,0,0,0.98,0.3333,1.735,661.135,503.97,0.0749,1,1,1,1
中視,其他,9928,781,647,684,614,0.2142,2,0.0045,4844.57,22.47475,1,0.02565,9251.52,38423.145,345256.29,6.897,9,3,3,0.3333,0.9333,1,57.11,7089.045,7146.155,0.09995,1,1,1,1
秋雨,其他,9929,676,551,522,495,0.375,1,0.008,104752,10.18,1,0.02565,1831.065,8587.76,5539.08,2.0625,7,3,0,0,0.97,0.14,0,1405.5,1405.5,0.18,1,1,1,1
中鼎,其他,9933,1444,1262,1160,1014,0.1427,0,0,183698,5.79,4,0.02,5500.94,5485.54,779183,0.35,12,4,1,0.0833,0.9333,1,0,1899,1899,0.06,1,1,1,1
百和,其他,9938,846,732,649,499,0.4368,4,0.004,30930,6.36,3,0.0204,2453.51,6965.05,6289.685,1.94,8,3,2,0.25,1,1,3.47,1030.27,1033.74,0.21,1,1,1,1
宏全,其他,9939,811,714,686,627,0.0309,9,0.0241,1662.14,3.2,4,0.0246,16670.38,73819.05,679495.53,11.164,9,3,1,0.11,1,0.5556,114.22,14137.32,14251.54,0.10535,1,1,1,1
信義,其他,9940,1211,1050,1105,802,0.204,231,0.0452,74963.9,14.66,4,0.0309,454.7062,5519.5,3510.97,1.1687,7,4,1,0.1429,0.97,1,0.873,264.89,264.1832,0.0517,1,1,1,1
裕融,其他,9941,1709,1450,1366,1124,0.3091,2,0.0024,8185,5.19,4,0,174.119,1037.38,1424.6,0.777,11,4,1,0.0909,0.9394,1,0,43.2475,73.36,0.06,1,1,1,1
茂順,其他,9942,761,641,611,542,0.225,45,0.04,53257.5,22.47475,2,0.02565,1831.065,8587.76,5539.08,2.0625,9,4,1,0.1111,0.8889,1,0.873,217.98,218.853,0.09995,1,1,1,1
新麗,其他,9944,735,624,615,538,0.2911,1,0.001,17100,8.21,1,0.0144,2222.99,2624.94,11017.05,2.325,7,3,4,0.5714,0.9642,1,0,292,292,0.14,1,1,1,1
潤泰新,其他,9945,1076,941,641,386,0.35,0,0,694236,63.9339,1,0.1915,562702.56,68298.03,1850.805,0.88,9,3,2,0.2222,0.8718,1,0,168.65,168.65,0.2549,1,1,1,1
遠東新,紡織纖維,1402,1315,1130,1011,864,0.3,77,0.0035,20915000,3,7,0.034,1222934,1171343,8592304,7.24,13,3,2,0.15,0.94,1,12138,178072,190210,0.0272,1,1,1,1
新纖,紡織纖維,1409,890,755,744,618,0.1043,5,0.0025,1907000,1.8104,1,0.01065,103082.01,168666.78,61201.73,12.9758,12,3,1,0.0833,0.9687,1,2006.9,706.26,5935.11,0.22985,1,1,1,1
南染,紡織纖維,1410,671,572,526,528,0.33,0,0,20916.773,92,1,0,288.6998,38345.16,5504.765,32.6824,7,4,0,0,0.9286,0.5714,0,401.295,401.295,0.12,1,1,1,1
宏洲,紡織纖維,1413,789,665,678,607,0.23,1,0.0045,350900000,111570,1,0,14591.31,25703.78,4609971.06,12.81,11,3,2,0.18,0.8169,1,155.08,48.61,203.69,0.0647,1,1,1,1
東和,紡織纖維,1414,640,523,575,529,0.1667,1,0.0044,41832,184,1,0,31.3996,14806.42,1712.0792,65.3648,7,3,1,0.14,1,0.6429,0,800.57,800.57,0.0003,1,1,1,1
嘉裕,紡織纖維,1417,694,577,525,473,0.48,5,0.015,468858.273,86,1,0.0003,10095.485,3524.145,317712.295,2.3,7,3,2,0.286,0.9762,1,0,641.51,641.51,0.12,1,1,1,1
東華,紡織纖維,1418,1071,931,594,515,0.1667,0,0,384,0.612,1,0,7.5513,448.3272,1470.3988,0.043,9,3,0,0,0.8889,0,252.76,122.82,375.58,0.0014,1,1,1,1
新紡,紡織纖維,1419,890,760,721,610,0.5,2,0.0036,67484.2,0.0072,1,0,2206.75,17272.6,484.3284,0.0021,7,3,0,0,1,1,0,106.9396,106.9396,0,1,1,1,1
利華,紡織纖維,1423,715,599,520,481,0.3333,2,0.0364,1.546,0,1,0,546,251.60705,1470.3988,0,5,3,5,1,0.95,1,0,2.02,2.02,0,1,1,1,1
福懋,紡織纖維,1434,616,519,590,523,0.05,9,0.0028,5888000,224.88,2,0.0041,192398,88692,61201.73,10.74,10,3,1,0.1,0.9833,1,2508.41,17143.58,19651.99,0.75,1,1,1,1
南紡,紡織纖維,1440,795,670,621,546,0.1033,6,0.006,813880,72.7497,2,0,55207.43,80073.1,627638.12,12.0922,20,4,5,0.25,0.908,1,47.52,456.24,503.76,0.045,1,1,1,1
大東,紡織纖維,1441,1060,886,661,633,0.136,0,0,2278.5,0.9088,1,0,1107.15065,372.1636,1712.0792,6.48895,7,3,1,0.8333,0.9762,1,126.396,74.274,200.67,0.0014,1,1,1,1
力麗,紡織纖維,1444,689,552,595,519,0.2407,1,0.0006,506215,1.3593,1,0.0006,90107.49,68277.08,1645.03,0.3568,9,3,1,0.1111,0.8333,1,0,3082,3082,0.0696,1,1,1,1
大宇,紡織纖維,1445,692,586,600,515,0.13,0,0,368873,42.24465,1,0.0003,45327.83,56041.625,5504.765,8.1434,11,3,1,0.09,0.976,0.2727,0,1666,1666,0.44185,1,1,1,1
宏和,紡織纖維,1446,764,645,608,504,0.1429,0,0,23549,0.1538,1,0,171.78695,276.315,1470.3988,1.433,9,3,2,0.2222,0.7222,0.2222,0,8.58,8.58,0.0001,1,1,1,1
力鵬,紡織纖維,1447,759,606,607,538,0.2,1,0.0008,4715324,35.3,1,0.00205,114687.1,111957.8,61201.73,1.057,9,3,2,0.2222,0.9697,1,203,8565,8768,0.3758,1,1,1,1
佳和,紡織纖維,1449,587,489,515,462,0.2527,2,0.0024,1894520,363,1,0,12633.46,82121.78,61201.73,0.0117,9,2,0,0,0.78,0.889,0,380.7,380.7,0.15,1,1,1,1
年興,紡織纖維,1451,788,667,594,535,0.1111,2,0.0028,2435899,0.2801,1,0.0394,16472.16,19221.81,61201.73,0.0013,9,3,0,0,0.9798,1,7051,7250,14301,0.0016,1,1,1,1
宏益,紡織纖維,1452,799,659,601,511,0.35,7,0.0306,54674,2.289,1,0,45.0645,23152.37,242.648,0.9712,9,3,1,0.1111,0.9444,1,0,10.81,10.81,0.0005,1,1,1,1
台富,紡織纖維,1454,702,582,554,509,0.2857,1,0,1724623.5,177.07,1,0.0003,44158.025,33517.59,5504.765,7.035,9,4,2,0.2222,0.9444,0.4444,0,5655.795,5655.795,0.12,1,1,1,1
集盛,紡織纖維,1455,769,652,651,569,0.1429,1,0.0008,545553,3.1803,1,0.0974,27860.49,129452.13,3223.06,0.9171,10,3,1,0.1,0.9571,0.8,0,1494.3,1494.3,0.0087,1,1,1,1
宜進,紡織纖維,1457,1214,1035,798,715,0.53,0,0,1115,1.224,1,0,18.2391,54.8869,2939.83,0.086,9,3,3,0.3333,0.888,1,126.38,62.42,2.784,0.0028,1,1,1,1
聯發,紡織纖維,1459,645,531,487,432,0.1667,0,0,8254,0.4215,1,0,0,22685,1470.3988,1.1585,9,3,0,0,0.9365,1,0,64.75,64.75,0.0033,1,1,1,1
宏遠,紡織纖維,1460,720,583,550,509,0.0389,19,0.0035,2511532,182.14,1,0,68671.08,61883.9,61201.73,9.47,11,3,0,0,0.8409,1,0,10030.59,10030.59,0.00095,1,1,1,1
強盛新,紡織纖維,1463,667,574,550,520,0.2857,0,0,721965,86.67965,1,0.0003,54876.23,36714.18,5504.765,2.4784,12,3,2,0.1667,0.963,0.5833,0,2181.5,2181.5,0.5574,1,1,1,1
得力,紡織纖維,1464,709,613,589,549,0.3091,16,0.0185,2964,0.6803,2,0,49421.33,33973.77,1470.3988,19.1405,7,3,0,0,1,1,0,3811.42,3811.42,0.8748,1,1,1,1
偉全,紡織纖維,1465,696,588,581,492,0.25,0,0,1724623.5,177.07,1,0.0003,44158.025,33517.59,5504.765,7.035,7,3,1,0.1429,0.9524,1,0,5655.795,5655.795,0.265,1,1,1,1
聚隆,紡織纖維,1466,722,593,604,551,0.35,6,0.011,231531,83.13,1,0.14,548.17,43806.17,7786.47,15.93,10,3,2,0.2,0.97,0.9,0,250,250,0.0089,1,1,1,1
南緯,紡織纖維,1467,945,802,708,603,0.54,2,0.01,4173,0.612,1,0,175.11955,296,1470.3988,0.043,11,3,1,0.0909,1,0.0909,0.032,25.728,25.76,0.0014,1,1,1,1
昶和,紡織纖維,1468,724,593,544,470,0.2,0,0,14460,21.07,2,0,11.5739,1897.01,1470.3988,2.78,7,3,1,0.142,0.9714,1,0.016,17.154,17.17,0.00145,1,1,1,1
大統新創,紡織纖維,1470,686,588,553,471,0.34,0,0,937715,172,1,0.0971,19644.97,5151.28,314113.05,4.6,11,3,0,0,0,0.273,0,1281,1281,0.24,1,1,1,1
台南,紡織纖維,1473,809,701,558,463,0.8076,1,0.0026,285958,0.0118,2,0.28,7562,6373,4135.3992,0.0006,11,3,5,0.4545,0.96,1,685.53,1149.15,1834.68,0.0001,1,1,1,1
弘裕,紡織纖維,1474,727,625,598,520,0.1948,14,0.0281,957544,385.33,2,0.0971,1481,15381.7,314113.05,6.79,11,3,1,0.0909,0.8788,0.6111,0,732,732,0.29,1,1,1,1
業旺,紡織纖維,1475,1046,861,545,545,0.1,0,0,2278.5,0.9088,1,0.14,1107.15065,372.1636,314061.2242,6.48895,5,3,1,0.2,1,0.4,126.396,74.274,200.67,5.00E-05,1,1,1,1
儒鴻,紡織纖維,1476,1223,1076,1000,880,0.353,1,0.0006,2423526,0.0609,6,0.0052,27129.81,97001.45,2848.9,0.0031,12,4,1,0.0833,0.9643,1,3525.5,8640.295,12181.08,0.0003,1,1,1,1
聚陽,紡織纖維,1477,2529,2344,1447,1321,0.54,4,0.005,679295,21.17,36,0.1942,15114.56,22446.32,587.98,1.17,15,3,6,0.4,0.9867,1,78,2862,2940,0.09,1,1,1,1
如興,紡織纖維,4414,1820,1615,979,778,0.4,0,0,2355.68,0.612,1,0,332,563,1470.3988,0.043,8,3,2,0.25,1,0.875,12.602,635.51,648.112,0.0014,1,1,1,1
利勤,紡織纖維,4426,628,533,561,537,0.4427,17,0.025,569749,153.78,1,0.0974,16025,4977,67,5.6686,7,3,0,0,0.81,0,0,483.41,483.41,0.1305,1,1,1,1
廣越,紡織纖維,4438,1151,963,892,806,0.78,0,0,272777.273,1.59015,2,0.0026,15.46,116988.56,3035.98,0.45855,7,3,0,0,1,0.1429,0,748.16,748.16,0.00435,1,1,1,1
冠星-KY,紡織纖維,4439,871,724.5,563,518.5,0.3571,0,0,1495294.35,91.7764,3,0.0213,27834.77,14548.42,119554.56,2.6013,7,3,0,0,0.9683,1,4013.8,1031.82,5045.62,0.3097,1,1,1,1
宜新實業,紡織纖維,4440,773,668,570,556,0,0,0,2.2858,0.21075,1,0,121.4932,20514.74,0.9676,0.57925,9,4,1,0.1111,1,1,0,44.659,44.659,0.00165,1,1,1,1
大魯閣,運動休閒,1432,477,385,516,425,0.333,1,0,5581.595,2.0226,1,0.029,559.5845,1614.795,83368.34,2.1433,9,4,2,0.2222,0.875,1,1,75.685,42.195,0.0109,1,1,1,1
岱宇,運動休閒,1598,665,559,565,492,0.303,1,0,11088,4.043,4,0.029,238.679,1525.14,6454.595,2.1433,7,3,1,0.14,1,1,1,75.685,57.02,0.021,1,1,1,1
喬山,運動休閒,1736,872,738,707,592,0.2167,3,0.0051,75.19,0.0022,4,0.058,880.49,1704.45,6454.595,0.207,11,3,3,0.27,0.985,1,0,27.37,27.37,0.0008,1,1,1,1
拓凱,運動休閒,4536,1078,922,752,584,0.1957,1,0.0031,8800,3.5639,4,0.029,66.6,1124.3,6454.595,2.1433,10,4,1,0.1,0.98,1,2,124,126,0.0355,1,1,1,1
桂盟,運動休閒,5306,1509,1344,952,755,0.359,0,0,10857,3.0848,100,0,69,3274,11016,4.0796,7,3,1,0.1429,1,1,1,75.685,176,0.05,1,1,1,1
復盛應用,運動休閒,6670,1145,971,897,724,0.2131,8,0.0082,125432,4.5,5,0.0078,5184.46,20208.82,155720.68,0.91,8,3,0,0,0.96,1,108.35,8755.53,8863.88,0.32,1,1,1,1
志強-KY,運動休閒,6768,674.5,561.5,611.5,508.5,0.39,1,0.002,865,1.5435,6,0.029,12.8718,106.5327,6454.595,2.1433,7,3,0,0,1,1,1,75.685,76.685,0.0254,1,1,1,1
柏文,運動休閒,8462,1134,1014,655,541,0.4847,6,0.004,557755,154.6742,3,0.0232,1019.95,49229.77,77882.62,13.935,7,3,2,0.2857,0.974,1,96.895,5126.45,5223.345,0.1965,1,1,1,1
波力-KY,運動休閒,8467,811,678,706.5,574.5,0.3401,25,0.0022,158000,4.1375,1,0.156,3341.78,13397.505,78806.935,0.61105,7,3,2,0.28,0.8857,1,146.57,80.4,226.97,0.1965,1,1,1,1
東哥遊艇,運動休閒,8478,1264,1151,956,877,0.1839,6,0.0084,10600,392.5926,2,0.029,67.8,2199.15,6454.595,2.1433,7,3,1,0.1429,1,1,1,75.685,151,0.0355,1,1,1,1
鈺齊-KY,運動休閒,9802,805.5,699.5,585.5,483,0.6228,17,0.0007,749365,83.0046,7,0.0386,4997.93,47859.42,44.56,7.0205,8,5,3,0.375,1,1,85.44,1497.37,1582.81,0.28115,1,1,1,1
寶成,運動休閒,9904,969,840,899,659,0.497,12,0.0033,9969200,0.0433,4,0.1274,48900,587300,23807.77,13.287,9,3,2,0.22,0.9841,1,6242.2,73138.8,79381,0.0003,1,1,1,1
豐泰,運動休閒,9910,1674,1490,1394,1094,0.422,66,0.0005,1087100,11.335,6,0.1272,16795,232248,77882.62,0.106,13,4,1,0.0769,1,1,5428,41499,46927,0.4893,1,1,1,1
美利達,運動休閒,9914,1041,913,955,777,0.1154,2,0.0015,120728,3.775,3,0,1499.1,6586.19,1893.19,0.3121,13,4,3,0.23,0.99,1,0,2333,2333,0.073,1,1,1,1
巨大,運動休閒,9921,1033,889,830,690,0.3158,53,0.0047,2844990,0.48,12,0.0733,11549.62,23152.8,402145.15,26.468,11,3,1,0.0909,0.97,1,8573,17720,26293,4.48,1,1,1,1
首利,電子零組件業,1471,1127,965,764,756,0.27,0,0,37069,0.1581,1,0.178,314.925,5429.9265,40277.67,5.88745,7,3,2,0.2857,0.8286,0.4286,5856.59,1648.73,7505.32,0.62835,1,1,1,1
信錦,電子零組件業,1582,1235,1074,1009,869,0.16,241,0,20281,6.2103,2,0,10.49,420.033,675.11015,1.50765,7,4,1,0.143,1,1,2.22475,22.195,24.41975,0.04145,1,1,1,1
川湖,電子零組件業,2059,937,809,869,703,0.2631,0,0,53857,0.0162,5,0.2775,619.36,10439.82,59302.935,0.7149,7,4,2,0.2857,0.9388,1,44.88,257.96,302.84,0.0167,1,1,1,1
台達電,電子零組件業,2308,1831,1625,1701,1422,0.32,236,0.0028,4310.3,392,35,0.576,38807,148838,6963291.68,17.08,12,5,3,0.25,1,1,6390,47772,54162,4.93,1,1,1,1
華通,電子零組件業,2313,1068,907,1004,894,0.15,60,0.012,3480.8,0.3,7,0.287,3766,127775,55651,11.06,9,3,1,0.1111,0.9167,0.3333,11668.3,3039.5,14707.8,1.24,1,1,1,1
楠梓電,電子零組件業,2316,615,503,534,491,0.4,9,0.0068,1402029,0.81,1,0.15845,2470.77,45647.6,62.5547,0.028,9,3,2,0.22,0.9815,1,2046.69,1086.05,3132.74,0.0018,1,1,1,1
國巨,電子零組件業,2327,876,772,740,642,0.34,8,0.002,303028,75,18,0,3753.76,113902.59,41747.36,42.89,9,3,0,0,0.8283,1,5143.01,3954.34,9097.35,2.26,1,1,1,1
廣宇,電子零組件業,2328,2127,1811,1370,1264,0.2727,0,0,1698,0.14,2,0,4.2096,65.0069,350.49545,0.0059,7,3,0,0,1,0.7143,0,8.6,8.6,0.0007,1,1,1,1
敬鵬,電子零組件業,2355,825,706,710,640,0.26,29,0.01,3730.3,241.18,1,0.151,3605.66,170323.63,11291.37,11.245,9,3,2,0.2222,0.9048,1,1813.943,3438.3055,44767.7,0.0145,1,1,1,1
燿華,電子零組件業,2367,791,672,673,605,0.1395,2,0.0004,2274240,0.53,1,0.0026,4235.25,111487.12,33568.31,0.04,7,3,1,0.1429,1,1,8270,3138,11408,0.003,1,1,1,1
金像電,電子零組件業,2368,1115,959,887,721,0.1993,47,0.0072,7674670,234,5,0.069,39330.22,269105.99,24904.34,12.777,9,3,3,0.3333,0.9861,1,34.443,60.00955,67975,2.0734,1,1,1,1
凱美,電子零組件業,2375,2097,1889,774,800,0.3,0,0,2525.25,149.673,1,0.0004,1192.11,8498.04,350.49545,6932.632,7,3,0,0,0.9,1,34.443,65.9967,93.4,962.92225,1,1,1,1
台光電,電子零組件業,2383,1317,1148,1054,786,0.1203,22,0.0059,592489,0.0156,41,0.01065,58996.22,97958.22,5717.77,0.0041,7,3,1,0.14,1,1,19148.04,10882.71,30030.75,0.0008,1,1,1,1
群光,電子零組件業,2385,2757,2499,1958,1676,0.1457,31,0,221193.53,3.0669,18,0.1355,7555.21,67148.05,862807.22,1.04,8,3,1,0.125,0.9583,1,38.613,5891.8655,4066.27,0.0564,1,1,1,1
