公司名稱,產業類別,公司代號,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG
宇隆,汽車工業,2233,903,770,680,601,0.24,6,0.016,14826,14.705,2,0,548.46895,3678.98,5919.875,3.4392,9,3,0,0,0.9444,1,38.67,254,292.67,0.41535,1,1,1,1
百達-KY,汽車工業,2236,796,680.5,609,545,0.2,2,0.0029,22250.71,0,1,0,0,2710.12,5919.875,0,7,3,1,0.1429,0.9655,1,4.7,187.945,102.595,0.3175,1,1,1,1
英利-KY,汽車工業,2239,857.5,706,665,596.5,0,0,0,64015.855,0.03145,1,0,31.43,4231.755,1548019.465,0.00175,7,3,1,0.143,0.8413,1,63.135,288.58,351.715,0.2301,1,1,1,1
艾姆勒,汽車工業,2241,812,642,650,592,0.1935,8,0.0129,105781,0.0629,4,0,62.86,5753.39,5919.875,0.0035,7,3,1,0.1429,1,1,87.6,323.16,410.76,0.0002,1,1,1,1
宏旭-KY,汽車工業,2243,857.5,706,665,596.5,0.1063,0,0,64015.855,0.03145,1,0,31.43,4231.755,1548019.465,0.00175,7,3,1,0.1429,0.8214,1,63.135,288.58,351.715,0.2301,1,1,1,1
汎德永業,汽車工業,2247,1101,930,953,749,0.0833,12,0.007,79902.55,0.0019,1,0,206.12,6413.955,5919.875,0.30685,7,3,2,0.2857,0.9841,1,4.7,137.495,102.595,0.23905,1,1,1,1
IKKA-KY,汽車工業,2250,956.5,786,801.5,670.5,0.37,0,0,92841.775,0.0324,1,0,31.43,4231.755,1548019.465,0.00175,9,3,0,0,1,1,63.135,288.58,351.715,0.2301,1,1,1,1
怡利電,汽車工業,2497,764,649,613,572,0.0051,0,0,11628.605,0.03145,2,0,31.43,4231.755,5117.495,0.00175,9,3,1,0.11,0.8741,1,7.435,103.075,42.8,0.2301,1,1,1,1
麗清,汽車工業,3346,1380,1194,982,702,0.05,0,0,5150,17.04,3,0,4.8,1147.6,5919.875,975.445,9,3,2,0.22,0.9583,0,2.211,24.518,26.729,0.32,1,1,1,1
智伸科,汽車工業,4551,2240,2024,1279,1027,0.33,0,0,444667,0.0012,13,0.31925,1107.46,49462.18,97,0.0001,8,3,1,0.125,1,1,188.36,409.93,598.29,0,1,1,1,1
永新-KY,汽車工業,4557,1810,1609,1130.5,864.5,0,6,0.0107,237032.5,0.0152,1,0,685.095,25988.15,4250.505,0.0013,9,3,0,0,0.9412,1,94.18,244.7445,338.9245,5.00E-05,1,1,1,1
光隆精密-KY,汽車工業,4581,716.5,604,599.5,559.5,0.1538,0,0,29398,0.0292,1,0,262.73,2514.12,5919.875,0.0025,9,3,2,0.2222,0.9722,1,0,79.559,79.559,0.0001,1,1,1,1
聯嘉,汽車工業,6288,814,666,764,512,0.1842,2,0.0186,33684,33684,3,0,349.38,5220.68,1604.76,1.989,9,3,2,0.222,1,1,30.475,81.451,111.926,111.926,1,1,1,1
帝寶,汽車工業,6605,669,559,586,547,0.1215,7,0.0027,31541,16842.0146,1,0,306.055,3867.4,1545373.72,0.99575,7,1,2,0.2857,0.9792,0.7143,0,122,122,55.96305,1,1,1,1
八貫,其他,1342,812,718,643,510,0.3333,7,0.02,14799.5,30599,1,0.15325,3.335,374.5,318.00045,30.43,7,3,0,0,0.96,1,0,250.1615,23.7715,925.513,1,1,1,1
廣豐,其他,1416,1613,1250,766,781,0.4286,0,0,14799.5,30599,1,0.15325,3.335,374.5,318.00045,30.43,8,3,0,0,0.9661,0.625,0,250.1615,23.7715,925.513,1,1,1,1
中福,其他,1435,827,757,1005,552,0.667,0,0,473,39,1,0.0142,3.335,729,17.63045,60.75,7,3,0,0,0.959,1,0,0.323,0.323,0.026,1,1,1,1
勤益控,其他,1437,3654,3355,696,415,0.25,0,0,236.75,30599,2,0.15325,3823.17,374.5,318.00045,30.43,7,3,0,0,1,1,0,250.1615,250.1615,925.513,1,1,1,1
立益物流,其他,1443,784,664,604,574,0.1494,0,0,14799.5,30599,1,0.15325,3.335,374.5,318.00045,30.43,9,2,0,0,0.82,0.11,0,250.1615,23.7715,925.513,1,1,1,1
川飛,其他,1516,845,749,521,694,0,0,0,14799.5,30599,1,0.15325,3.335,374.5,318.00045,30.43,8,3,2,0.25,1,0.75,0,250.1615,23.7715,925.513,1,1,1,1
海悅,其他,2348,1827,1633,1372,1136,0.3182,0,0,14563.25,30599,1,0.15325,3823.17,374.5,318.00045,30.43,7,2,1,0.1426,0.9286,0.2857,0,250.1615,273.61,925.513,1,1,1,1
卓越,其他,2496,1303,1005,599,586,1,0,0,14563.25,30599,2,0.15325,3823.17,374.5,318.00045,30.43,9,3,5,0.56,0.93,1,0,250.1615,273.61,925.513,1,1,1,1
龍邦,其他,2514,1750,1559,770,703,0.8,0,0,14563.25,30599,1,0.15325,3823.17,374.5,318.00045,30.43,7,3,1,0.1429,0.9642,0.5714,0,250.1615,273.61,925.513,1,1,1,1
匯僑,其他,2904,1049,875,671,655,0.2,0,0,29126,2.4203,1,0.0142,6495.8274,2346.1653,11761.59545,0.9902,5,2,0,0,0.95,1,0,685.3825,47.22,0.0944,1,1,1,1
遠見,其他,3040,1157,1001,815,828,0.5,0,0,0.5,19.5124,1,0.0142,0,20,17.63045,30.42965,7,3,2,0.286,1,1,0,500,500,0.01305,1,1,1,1
jpp-KY,其他,5284,1212,1046.5,898,726.5,0.1923,21,0.0208,92730,61159,1,0.1622,359.7124,2939.1903,1924.25045,0.68,7,3,1,0.1429,1,1,1368.81,52.78,1421.59,1851,1,1,1,1
中租-KY,其他,5871,876,753.5,596.5,514.5,0.2906,8,0.001,83354.13,1.16,15,0.0953,7646.34,5015.82,601.9,0.11,9,3,1,0.1111,0.9907,1,9.58,760.315,273.193,0.07095,1,1,1,1
大豐電,其他,6184,975,844,610,514,0.4444,1,0.0111,205610.065,38904.58,1,0.15325,3826.505,2515.5,318.00045,0.501,7,2,1,0.1429,1,0.2,0,227.235,229.8315,136,1,1,1,1
台數科,其他,6464,1565,1362,569,506,0.5455,0,0,1.03,19.5124,1,0.0142,6.67,15.18,17.63045,30.42965,15,3,2,0.1333,0.6667,1,0,4.31,4.31,0.01305,1,1,1,1
南六,其他,6504,786,640,547,500,0.1667,33,0.0844,327866,4182.73,1,0.0811,1419.8274,7896.8003,23.56045,1768.21855,9,3,1,0.1111,0.94,1,0,186.47,186.47,4,1,1,1,1
鼎基,其他,6585,879,747,691,582.5,0.2093,4,0.0068,77808,77808,0,0.0953,1081.0624,1476.1853,1924.25045,1.18215,7,3,0,0,0.91,1,0,268,268,268,1,1,1,1
和潤企業,其他,6592,1449,1249,1186,939,0.1818,0,0,38904.515,69483.5,4,0.0811,215.0248,36.1806,34.1009,1.04385,9,3,0,0,0.9778,1,0,136.155,136.155,136,1,1,1,1
必應,其他,6625,777,663,583,515,0.23,1,0.0036,202837,38904.58,1,0.15325,3826.505,2515.5,318.00045,0.501,7,3,0,0,0.9167,1,0,227.235,227.235,136,1,1,1,1
科定,其他,6655,926,821,799,650,0.0932,12,0.0162,202837,38904.58,1,0.15325,110.8474,25.6803,318.00045,0.501,7,3,1,0.1428,0.987,1,0,227.235,227.235,136,1,1,1,1
雷虎,其他,8033,1115,967,609,593,0.1112,39,0,3031.2,0.0248,1,0.0142,1081.0624,1476.1853,17.63045,30.42965,7,2,2,0.2858,0.8715,1,0,70.405,7.2,0.0001,1,1,1,1
百和興業-KY,其他,8404,1004.5,823.5,675.5,666.5,0.003,27,0.0072,987125,10.255,1,0.1443,21492.41,68259.39,898848.5505,7.51,8,3,0,0,0.9857,1,115.53,5067.39,5182.92,2.0025,1,1,1,1
福貞-KY,其他,8411,1004.5,823.5,675.5,666.5,0.2667,8,0.0063,800468,10.255,3,0.07215,10853.7174,34147.7853,898848.5505,4.201,7,3,2,0.2857,0.9592,1,57.765,2593.695,2651.46,2.0025,1,1,1,1
威宏-KY,其他,8442,1082,935,877,788.5,0,0,0,691101.5,8.2361,1,0.07215,272641.785,54656.9,898838.01,4.201,9,3,0,0,0.94,1,0,72.6125,72.6125,0.0136,1,1,1,1
潤泰材,其他,8463,868,713,643,555,0.0121,5,0.0152,581735,38922.5131,1,0.0811,523791.16,41054.41,23.56045,0.892,9,3,1,0.1111,0.9028,1,0,120,120,2.03595,1,1,1,1
美吉吉-KY,其他,8466,1082,935,877,788.5,0.2245,21,0.023,298532,8.2361,3,0.07215,272641.785,54656.9,898838.01,4.201,8,2,0,0,0.9444,1,0,72.6125,72.6125,0.0136,1,1,1,1
政伸,其他,8481,1296,1157,1111,1022,0.3846,3,0.0112,15329,16.4474,2,0.0142,602.3699,433.0938,17.63045,1.04385,11,3,1,0.09,1,1,0,25.225,25.225,0.0271,1,1,1,1
吉源-KY,其他,8488,1082,935,877,788.5,0.2222,0,0,298532,8.2361,1,0.07215,272641.785,54656.9,898838.01,4.201,9,3,1,0.1111,1,1,0,72.6125,72.6125,0.0136,1,1,1,1
台火,其他,9902,1227,994,668,710,0.375,0,0,912737,4.26655,1,0.0142,284974.08,69497.705,910576.045,0.521,7,3,0,0,1,1,177.205,2177.6,2354.805,2.01275,1,1,1,1
大華,其他,9905,795,633,668,625,0.1951,2,0.0067,100007,37.0262,1,0.0953,3930.6824,2526.0003,318.00045,0.68,10,3,2,0.2,0.9333,0.5,19.16,175.09,194.25,0.0719,1,1,1,1
統一實,其他,9907,992,826,824,791,0.1042,7,0.0062,1243739,1.29,2,0.15325,46157,97941,1797663,0.15,10,3,1,0.1,1,1,354.41,4235.2,4589.61,0.005,1,1,1,1
中保科,其他,9917,905,760,729,677,0.286,41,0.017,52006,7.2431,4,0.0142,3340.4,4660.18,1924.25045,1.1143,11,3,1,0.0909,0.9727,1,0,685.3825,28.867,4.0205,1,1,1,1
康那香,其他,9919,760,648,552,484,0.4,12,0.0123,226983,19.22,2,0,2624.63,15757.42,13.02,3120.34,9,3,3,0.3333,0.9884,1,0,1301,1301,0.2,1,1,1,1
新保,其他,9925,813,676,659,609,0.0567,19,0.0105,5807,3.0939,1,0.0142,1947.1,2916.19,17.63045,1.04385,9,4,0,0,0.8687,0.6667,0,136.5,136.5,0.0294,1,1,1,1
泰銘,其他,9927,902,757,668,633,0.0909,0,0,29629,0.9848,1,0.0142,12776.63,4656.15,11761.59545,0.5794,9,3,0,0,0.96,0.5556,0,685.3825,565.75,0.0188,1,1,1,1
中視,其他,9928,782,653,683,623,0.2857,3,0.0067,52907,23.8664,1,0.0142,8212.105,37507.93,11751.055,6.7712,9,3,2,0.2222,0.9524,0.7778,9.58,155.795,165.375,0.06415,1,1,1,1
秋雨,其他,9929,654,536,501,470,0.4,1,0.0083,9600,8.4348,1,0.0142,947.3175,727.3635,17.63045,1.04385,6,2,0,0,0.974,0.143,0,1.8,1.8,0.05755,1,1,1,1
中鼎,其他,9933,1436,1249,1191,1074,0.1382,0,0,192542,8346.24,4,0.0142,4477.33,5121.74,205.4385,416.0971,12,4,1,0.0833,0.9405,1,0,1776.49,1776.49,77.0067,1,1,1,1
百和,其他,9938,880,767,671,525,0.143,20,0.02,30674.41,3.8558,4,0.0142,2844.1,8301.67,23489.09,1.401,8,3,2,0.25,1,1,0,1345.54,1345.54,0.17,1,1,1,1
宏全,其他,9939,766,673,648,599,0.0545,2,0.0055,1580417,10.255,4,0.07215,14477.11,72099.67,898848.5505,11.564,9,3,1,0.11,0.98,0.667,72.89,11705.71,11778.6,2.0025,1,1,1,1
信義,其他,9940,1570,1412,1263,945,0.185,191,0.0375,73026,14.34,4,0.0284,504.4,5842.2,3814.4,1.25,7,4,1,0.1429,0.96,1,9.58,760.315,381.659,0.07,1,1,1,1
裕融,其他,9941,1732,1560,1285,1063,0.289,3,0.0044,7636,6.163,4,0,904.92,624.72,1.16,0.1093,11,4,1,0.0909,0.935,1,0,26.855,72.72,0.0587,1,1,1,1
茂順,其他,9942,703,590,567,518,0.2,4,0.0039,118415.5,14.9633,2,0.0142,1807.1725,8293.7135,11751.055,1561.1592,9,3,3,0.3333,0.9048,1,0,676.455,676.455,0.1282,1,1,1,1
新麗,其他,9944,714,613,608,525,0.3846,0,0,9848,10.7066,1,0.0142,989.715,830.007,17.63045,1.9784,7,3,4,0.57,1,1,0,51.91,51.91,0.0564,1,1,1,1
潤泰新,其他,9945,1110,983,653,376,0.38,0,0,581735,38922.5131,1,0.0811,523791.16,41054.41,23.56045,0.892,9,3,3,0.3333,0.8718,1,0,120,120,2.03595,1,1,1,1
遠東新,紡織纖維,1402,1286,1103,976,849,0.19,101,0.005,22627000,2.93,10,0.011,1341000,1145000,8211000,0.32,13,3,2,0.15,0.91,1,17480,191108,208588,0.0271,1,1,1,1
新纖,紡織纖維,1409,907,778,761,611,0.0889,3,0.0016,1981972,2.05,1,0.0045,112287.86,177128.39,83395.33,15.31,12,3,1,0.0833,0.9762,1,0,1743.2,1743.2,0.2137,1,1,1,1
南染,紡織纖維,1410,673,580,537,547,0.4118,0,0,306961,88.03,1,0.0003,64897.875,38279.02,338747.56,4.74515,7,4,0,0,0.7755,0.7142,0,2031.5,2031.5,1817.85,1,1,1,1
宏洲,紡織纖維,1413,741,623,648,614,0.18,2,0.0085,392110,2.59,1,0,19626,46167,12190.17,0.436,9,2,2,0.22,0.84,1,118.53,338.455,71.51,0.0004,1,1,1,1
東和,紡織纖維,1414,675,557,564,527,0.176,4,0.019,43478,1801.1229,1,0,0,15865,0,0.4705,7,3,1,0.14,1,0.714,0,129,129,4.2001,1,1,1,1
嘉裕,紡織纖維,1417,663,558,551,446,0.5384,3,0.01,297008,1800.69,1,0.0003,84329.795,30484.97,338747.56,6.97015,7,3,2,0.286,0.9762,1,0,1971.29,1971.29,1817.85,1,1,1,1
東華,紡織纖維,1418,994,694,542,478,0.1429,0,0,3515,13.925,1,0.0055,32.8251,786.405,242.5,1.925,9,2,0,0,0.9433,0,0,9,9,0.0004,1,1,1,1
新紡,紡織纖維,1419,792,672,652,564,0.56,0,0,80071,0.0118,1,0,4.8825,14227,242.5,0.0021,7,3,0,0,0.9855,1,0,36.11,36.11,0,1,1,1,1
利華,紡織纖維,1423,742,619,508,442,0.3333,1,0.0149,2.207,0,1,0.0055,1036,422.7025,242.5,0,5,3,5,1,0.8333,1,0,5.58,5.58,0,1,1,1,1
福懋,紡織纖維,1434,600,504,567,507,0.17,14,0.0024,6137000,250.59,2,0,254487,93266,83395.33,14.22,11,3,1,0.0909,0.95,1,20324,2532,22856,0.93,1,1,1,1
南紡,紡織纖維,1440,783,663,631,560,0.0961,9,0.008,808560,2.6,2,0.0882,60595.73,83942.24,677495.12,2.64,20,4,5,0.25,0.9,1,36.31,564,600.31,0.0019,1,1,1,1
大東,紡織纖維,1441,830,697,600,559,0.1875,0,0,444315.5,1.3059,1,0,48131.865,49084.62,350695.23,1.32105,7,3,1,0.1429,1,0.86,18.155,300.055,318.21,0.00095,1,1,1,1
力麗,紡織纖維,1444,690,565,563,488,0.2273,7,0.0075,570444,1.38,1,0.0006,129795.75,60693.04,12190.17,0.4003,9,3,1,0.1111,0.8547,1,0,3934,3934,0.0051,1,1,1,1
大宇,紡織纖維,1445,676,571,539,471,0.2,0,0,297008,1800.69,1,0.0003,102863.145,30484.97,338747.56,4.74515,7,3,0,0,0.9863,0.2727,0,1971.29,1971.29,4.20115,1,1,1,1
宏和,紡織纖維,1446,685,574,577,476,0.1463,0,0,23572,3600,1,0.0055,16.41255,276.9,242.5,0.01105,9,3,2,0.2222,0.8182,0.5556,0,8.58,8.58,8.4,1,1,1,1
力鵬,紡織纖維,1447,735,591,555,499,0.2373,3,0.0057,4395898,24.7,1,0,94305.5,144960.7,83395.33,11.655,9,3,2,0.2222,0.9572,1,429,8156,8585,0.46515,1,1,1,1
佳和,紡織纖維,1449,588,492,503,482,0.317,2,0.0023,2075900,361.18,1,0,7736,67643.23,83395.33,8.024,11,3,0,0,0.73,0.8,0,310,310,0.016,1,1,1,1
年興,紡織纖維,1451,744,634,595,526,0.22,1,0.0012,704199,0.088,1,0.1758,48795.24,117836.64,350695.23,1.725,9,3,0,0,0.9495,1,0,1841,1841,0.0002,1,1,1,1
宏益,紡織纖維,1452,959,823,740,626,0.33,17,0.0711,64039,2.2458,1,0,9.765,26761.62,242.5,0.9389,9,3,1,0.1111,0.9206,1,0,6.8,6.8,0.0002,1,1,1,1
台富,紡織纖維,1454,649,541,515,449,0.068,0,0,4408.5,1482.12135,1,0.0003,19431.92,30829.005,338747.56,7.36425,9,2,0,0,1,0.44,0,1841.72,1841.72,1813.65115,1,1,1,1
集盛,紡織纖維,1455,827,701,691,587,0.1193,4,0.0033,695569,3,1,0.0882,36994.75,151731.04,23895.34,0.81,10,3,1,0.1,1,0.8,0,1762.73,1762.73,0.01,1,1,1,1
宜進,紡織纖維,1457,914,737,600,589,0.555,0,0,557,27.85,1,0,18,59,242.5,3.85,9,3,3,0.3333,0.81,1,0,7.29,7.29,0.0004,1,1,1,1
聯發,紡織纖維,1459,694,575,499,447,0.1429,0,0,5853,0.2427,1,0.0055,0,28659,242.5,1.1885,9,3,0,0,0.963,1,0,56.14,56.14,0.0023,1,1,1,1
宏遠,紡織纖維,1460,707,580,543,501,0.03,21,0.01,2661715,174.68,1,0,75930.54,62616.83,83395.33,9.09,11,3,0,0,0.909,1,0,10770.24,10770.24,0.00815,1,1,1,1
強盛新,紡織纖維,1463,626,536,537,500,0.1707,0,0,3069982,1607.295,1,0.0003,146675.42,63132.505,338747.56,13.88,7,2,1,0.1111,0.9722,0.4444,10162,3079.65,13241.65,1814.115,1,1,1,1
得力,紡織纖維,1464,639,545,535,494,0.3157,11,0.0139,2964,2964,2,0.0055,38863.84,32999.01,242.5,13.54,7,3,0,0,1,1,0,3627.3,3627.3,3627.3,1,1,1,1
偉全,紡織纖維,1465,510,414,462,428,0.25,0,0,4106450,305.885,1,0.0003,131111.5,80454.615,338747.56,11.122,7,3,1,0.1429,0.9762,1,10162,1421,11583,0.473,1,1,1,1
聚隆,紡織纖維,1466,765,647,651,600,0.35,2,0.0055,182737,3.72,1,0.2,0,50952.99,242.5,3.37,10,3,2,0.2,0.98,1,0,313.3,313.3,0.0063,1,1,1,1
南緯,紡織纖維,1467,786,640,696,597,0.61,2,0.01,4309,14.0552,1,0.0055,16.41255,444.753,242.5,1.93605,11,3,1,0.0909,1,0,0.042,26.16,26.202,0.0004,1,1,1,1
昶和,紡織纖維,1468,802,667,557,507,0.2,0,0,969840.5,85.544,2,0.0879,19878,11194,350695.23,4.22,7,3,1,0.1428,1,1,0,2128,2128,0.1651,1,1,1,1
大統新創,紡織纖維,1470,756,660,591,521,0.343,0,0,1235482,171,1,0,35668,6331,420857.47,5.8,11,3,0,0,1,0.273,0,2415,2415,0.33,1,1,1,1
台南,紡織纖維,1473,725,623,532,451,0.77,2,0.0001,311623,0.015,1,0.4,7001.09,6442.34,242.5,0.0007,11,3,4,0.3636,0.8891,1,1019.37,651.27,1670.64,0.08,1,1,1,1
弘裕,紡織纖維,1474,727,629,572,505,0.1423,1,0.0021,180011,1.8659,1,0.2,4088,16057,242.5,1.68605,11,3,1,0.0909,0.9649,0.4545,0,786,786,0.00315,1,1,1,1
業旺,紡織纖維,1475,839,702,529,495,0.1,0,0,969840.5,85.544,1,0.0879,19878,11194,350695.23,4.22,5,3,1,0.2,1,0.4,0,2128,2128,0.1651,1,1,1,1
儒鴻,紡織纖維,1476,1080,943,879,760,0.36,6,0.0033,2570840,0.0716,6,0,30530.36,96382.24,2570.84,0.0035,12,4,1,0.0833,1,1,0,5503.86,9682.66,0.0003,1,1,1,1
聚陽,紡織纖維,1477,1924,1747,1348,1226,0.5,0,0,7534,0.2604,31,0.011,0,638.24,242.5,0.0221,15,3,6,0.4,0.978,1,0.021,131.82,22.91,0.0008,1,1,1,1
如興,紡織纖維,4414,1552,1346,980,797,0.25,0,0,1760.29,13.925,1,0.0055,1637.26,9103.95,242.5,1.925,9,3,1,0.1111,0.9629,0.7778,12.752,660.599,673.351,0.0004,1,1,1,1
利勤,紡織纖維,4426,490,405,418,397,0.4286,19,0.02,369969,231,1,0.2,10854,3991,485,8.9428,7,3,0,0,0.81,0,237.06,439.43,676.49,0.42,1,1,1,1
廣越,紡織纖維,4438,1037,868,835,772,0.469,0,0,824166.43,163.6382,3,0.0045,23095.33,11951.135,82352.41,6.20655,7,3,0,0,1,0.14,3083.94,553.09305,3637.03,0.4157,1,1,1,1
冠星-KY,紡織纖維,4439,938,785,682,633.5,0.3214,0,0,1646572.57,96.2764,2,0.009,44553.4,14798.32,164219.82,3.4703,7,3,0,0,1,1,6167.88,868.7061,7036.58,0.4114,1,1,1,1
宜新實業,紡織纖維,4440,823,718,609,620,0,0,0,185864.645,117.36,2,0,6245.63,6547.475,242.5,6.1564,7,3,1,0.1429,0.9464,1,0,237.48,237.48,0.21315,1,1,1,1
大魯閣,運動休閒,1432,377,297,430,364,0.333,18,0.029,10897.15,1.6416,1,0.024,219.47,1471.22,4743.465,0.00045,9,4,2,0.2222,0.7273,1,52.285,4158.7,156.86,5.00E-05,1,1,1,1
岱宇,運動休閒,1598,742,620,598,508,0.275,3,0,21787,0.0032,2,0,434.68,1848.44,869.185,0.0003,6,3,1,0.17,0.98,1,0,183.72,183.72,0,1,1,1,1
喬山,運動休閒,1736,835,706,692,589,0.2143,7,0.006,10897.15,1.6416,6,0.024,219.47,1471.22,4743.465,0.00045,11,3,3,0.27,0.977,0.95,52.285,4158.7,156.86,5.00E-05,1,1,1,1
拓凱,運動休閒,4536,1074,919,703,555,0.17,1,0.0031,7.3,178.64,4,0,219.47,1094,869.185,0.00045,9,3,1,0.11,0.98,1,0,1146.36,130,5.00E-05,1,1,1,1
桂盟,運動休閒,5306,1463,1302,803,691,0.3,0,0,3000,3.28,114,0,4.26,61.88,869.185,0.0006,7,3,1,0.14,1,1,0,1146.36,12,0.0001,1,1,1,1
復盛應用,運動休閒,6670,973,817,810,708,0.1964,8,0.0086,119783,119783,4,0.048,5730.59,18582.88,869.185,0.0028,8,3,0,0,0.9701,1,104.57,8133.68,8238.25,0.001,1,1,1,1
志強-KY,運動休閒,6768,1268.5,1110.5,753,623,0.39,1,0.002,765,178.64,4,0,219.47,110.54,869.185,0.00045,7,3,0,0,1,1,0,1146.36,71,5.00E-05,1,1,1,1
柏文,運動休閒,8462,840,738,522,455,0.5177,7,0.0045,467637,179.4463,2,0.02465,834,16582,869.185,6.683,7,3,2,0.2857,0.956,1,29.269,2184.8735,2214.1425,0.0471,1,1,1,1
波力-KY,運動休閒,8467,606,501.5,561,476.5,0.078,0,0,186598,59891.5092,1,0.15,7165.295,19291.44,869.185,0.01805,7,3,2,0.2857,0.9524,0.86,83.11,98.25,181.36,0.0026,1,1,1,1
東哥遊艇,運動休閒,8478,1173,1078,857,794,0.1892,5,0.0076,7434,354,1,0,219.47,86.21,869.185,0.00045,6,3,0,0,1,1,0,1146.36,71,5.00E-05,1,1,1,1
鈺齊-KY,運動休閒,9802,606,501.5,561,476.5,0.6831,34,0.0205,618365,89.73235,7,0.0493,4897.82,44626.22,869.185,3.35815,8,5,1,0.125,1,1,58.538,784.747,843.285,0.0026,1,1,1,1
寶成,運動休閒,9904,924,788,813,598,0.54,8,0.0026,14216800,2.53795,4,0.0596,13600,429400,7760.56,0.07975,9,3,2,0.22,1,1,5564.2,58873,64437.2,0.05415,1,1,1,1
豐泰,運動休閒,9910,1321,1147,1154,862,0.423,68,0.0005,1657513,0.0133,5,0.0633,10021,214482,12,0.114,13,4,1,0.0769,1,1,3919,32098,36017,0.0183,1,1,1,1
美利達,運動休閒,9914,1081,965,938,773,0.1622,15,0.012,118641,5.0626,3,0,1065.84,6807.2,1726.37,0.0455,13,4,3,0.23,0.98,1,0,2109,2109,0.09,1,1,1,1
巨大,運動休閒,9921,1030,894,875,710,0.3333,0,0,211100,0.0184,21,0,8600,20000,869.185,0.0333,11,3,1,0.0909,0.987,1,0,3585,3585,0.0042,1,1,1,1
首利,電子零組件業,1471,1085,925,760,762,0.25,0,0,1535046.5,7.365,1,0.0005,1617.505,4899.99,33708.2,4.6017,7,3,2,0.2857,0.8889,0.4286,1080.445,1665.93,6802.295,0.50305,1,1,1,1
信錦,電子零組件業,1582,1189,1015,940,803,0.1522,0,0,215901,1.3052,3,0.175,14.797,201,635.125,0.005,7,4,1,0.1429,1,1,1002,83.35,1085.35,0.00225,1,1,1,1
川湖,電子零組件業,2059,836,705,766,678,0.2619,1,0.0016,54093,14.51,6,0,874.74,9598.98,9938.058,0.0034,7,4,2,0.2857,1,0.5714,35.89,241.7,277.59,0.0161,1,1,1,1
台達電,電子零組件業,2308,1621,1430,1525,1293,0.323,243,0.0277,4160237.89,415.57,43,0.5529,17807.71,133207.18,651556.48,15.08,10,4,1,0.1,1,1,4018.67,46042.24,50060.91,5,1,1,1,1
華通,電子零組件業,2313,1017,855,889,793,0.125,32,0.0066,3016000,0.22,4,0,2360.27,121549.86,57.4606,9.2,9,3,1,0.1111,0.9556,0.3333,0,6.766,13327,0.99,1,1,1,1
楠梓電,電子零組件業,2316,631,518,552,527,0.17,9,0.0066,1674706,0.66,1,0,3107.3,56593.86,57.4606,0.0234,9,3,2,0.22,0.9259,1,2781.65,1189.52,3971.17,0.0016,1,1,1,1
國巨,電子零組件業,2327,932,826,747,637,0.34,10,0.0025,362099,9,34,0,4489.59,120270.39,33744.4,3.1,9,3,0,0,0.8222,0.44,2125,3090.16,5215.16,0.13,1,1,1,1
廣宇,電子零組件業,2328,1982,1655,1244,1185,0.2632,0,0,5512,0.0004,1,0,14.098,80.9167,57.4606,0.0077,7,3,0,0,0.98,0.29,0,11.264,11.264,0.0009,1,1,1,1
敬鵬,電子零組件業,2355,787,673,672,601,0.235,27,0.0085,3873.96,153.13,1,0.0075,10012.12,187433.86,12450.035,7.81,9,3,2,0.2222,0.963,1,0,58.7,52336.43,0.0137,1,1,1,1
燿華,電子零組件業,2367,694,579,559,503,0.0178,3,0.0006,2070450,0.61,1,0,3721.08,105521.85,31552.08,0.04,7,3,1,0.1429,1,1,6782,2468,9250,0.003,1,1,1,1
金像電,電子零組件業,2368,1000,848,765,623,0.2081,60,0.0081,7433736,279,4,0,45303,362505,33672,16.5923,9,3,3,0.3333,0.963,1,0,6.766,67852,2.55,1,1,1,1
凱美,電子零組件業,2375,1639,1441,731,759,0.4,0,0,2525.25,180.7902,1,0,1192.11,8498.04,57.4606,9690.14,5,2,0,0,0.9231,0.4,0,14.98,14.98,84.9485,1,1,1,1
台光電,電子零組件業,2383,1309,1146,935,767,0.08,6,0.0058,101897,0.011,43,0,15679.43,25755.56,9707.91,0.0045,7,3,0,0,0.98,1,1824.63,6769.89,8594.52,0.0236,1,1,1,1
群光,電子零組件業,2385,2454,2212,1764,1482,0,21,0,1632816.64,1632816.64,16,0.1248,7273.24,90208.3,46738660.44,97481.54,8,3,1,0.125,0.975,1,1002,33.05,3986.07,3986.07,1,1,1,1
正崴,電子零組件業,2392,1367,1163,1181,1034,0.1818,0,0,3365820,120.11,1,0,11802,234489,606,6.48015,9,3,1,0.1111,1,0.3333,93.6498,160.1216,253.7714,1.235,1,1,1,1
